Location,Positive_Cases,Last_updated,Last_updated_time
Montgomery,4,3/25/2020,13:46
Nassau,"3,285",3/25/2020,13:46
Niagara,12,3/25/2020,13:46
New York City,"17,856",3/25/2020,13:46
Oneida,9,3/25/2020,13:46
Onondaga,65,3/25/2020,13:46
Ontario,9,3/25/2020,13:46
Orange,638,3/25/2020,13:46
Orleans,2,3/25/2020,13:46
Oswego,2,3/25/2020,13:46
Otsego,2,3/25/2020,13:46
Putnam,84,3/25/2020,13:46
Rensselaer,31,3/25/2020,13:46
Rockland,968,3/25/2020,13:46
Saratoga,64,3/25/2020,13:46
Schenectady,55,3/25/2020,13:46
Schoharie,2,3/25/2020,13:46
St. Lawrence,1,3/25/2020,13:46
Steuben,8,3/25/2020,13:46
Suffolk,"2,260",3/25/2020,13:46
Sullivan,39,3/25/2020,13:46
Tioga,1,3/25/2020,13:46
Tompkins,16,3/25/2020,13:46
Ulster,65,3/25/2020,13:46
Warren,2,3/25/2020,13:46
Washington,4,3/25/2020,13:46
Wayne,7,3/25/2020,13:46
Westchester,"4,691",3/25/2020,13:46
Wyoming,4,3/25/2020,13:46
Total Number of Positive Cases,"30,811",3/25/2020,13:46
Albany,171,3/26/2020,13:49
Allegany,2,3/26/2020,13:49
Broome,16,3/26/2020,13:49
Cayuga,2,3/26/2020,13:49
Chautauqua,1,3/26/2020,13:49
Chemung,7,3/26/2020,13:49
Chenango,3,3/26/2020,13:49
Clinton,11,3/26/2020,13:49
Columbia,13,3/26/2020,13:49
Cortland,2,3/26/2020,13:49
Delaware,7,3/26/2020,13:49
Dutchess,190,3/26/2020,13:49
Erie,134,3/26/2020,13:49
Essex,4,3/26/2020,13:49
Franklin,1,3/26/2020,13:49
Fulton,1,3/26/2020,13:49
Genesee,4,3/26/2020,13:49
Greene,5,3/26/2020,13:49
Hamilton,2,3/26/2020,13:49
Herkimer,7,3/26/2020,13:49
Jefferson,3,3/26/2020,13:49
Livingston,3,3/26/2020,13:49
Madison,9,3/26/2020,13:49
Monroe,139,3/26/2020,13:49
Montgomery,5,3/26/2020,13:49
Nassau,"3,914",3/26/2020,13:49
Niagara,14,3/26/2020,13:49
New York City,"21,393",3/26/2020,13:49
Oneida,13,3/26/2020,13:49
Onondaga,83,3/26/2020,13:49
Ontario,11,3/26/2020,13:49
Orange,751,3/26/2020,13:49
Orleans,2,3/26/2020,13:49
Oswego,4,3/26/2020,13:49
Otsego,3,3/26/2020,13:49
Putnam,94,3/26/2020,13:49
Rensselaer,32,3/26/2020,13:49
Rockland,"1,197",3/26/2020,13:49
Saratoga,73,3/26/2020,13:49
Schenectady,62,3/26/2020,13:49
Schoharie,2,3/26/2020,13:49
St. Lawrence,2,3/26/2020,13:49
Steuben,11,3/26/2020,13:49
Suffolk,"2,735",3/26/2020,13:49
Sullivan,53,3/26/2020,13:49
Tioga,2,3/26/2020,13:49
Tompkins,22,3/26/2020,13:49
Ulster,78,3/26/2020,13:49
Warren,2,3/26/2020,13:49
Washington,4,3/26/2020,13:49
Wayne,8,3/26/2020,13:49
Westchester,"5,944",3/26/2020,13:49
Wyoming,7,3/26/2020,13:49
Total Number of Positive Cases,"37,258",3/26/2020,13:49
Albany,195,3/28/2020,14:55
Allegany,2,3/28/2020,14:55
Broome,23,3/28/2020,14:55
Cattaraugus,1,3/28/2020,14:55
Cayuga,2,3/28/2020,14:55
Chautauqua,5,3/28/2020,14:55
Chemung,12,3/28/2020,14:55
Chenango,8,3/28/2020,14:55
Clinton,12,3/28/2020,14:55
Columbia,22,3/28/2020,14:55
Cortland,5,3/28/2020,14:55
Delaware,8,3/28/2020,14:55
Dutchess,262,3/28/2020,14:55
Erie,318,3/28/2020,14:55
Essex,4,3/28/2020,14:55
Franklin,4,3/28/2020,14:55
Fulton,1,3/28/2020,14:55
Genesee,7,3/28/2020,14:55
Greene,7,3/28/2020,14:55
Hamilton,2,3/28/2020,14:55
Herkimer,9,3/28/2020,14:55
Jefferson,6,3/28/2020,14:55
Livingston,5,3/28/2020,14:55
Madison,19,3/28/2020,14:55
Monroe,192,3/28/2020,14:55
Montgomery,5,3/28/2020,14:55
Nassau,"5,537",3/28/2020,14:55
Niagara,33,3/28/2020,14:55
New York City,"29,766",3/28/2020,14:55
Oneida,23,3/28/2020,14:55
Onondaga,129,3/28/2020,14:55
Ontario,16,3/28/2020,14:55
Orange,"1,101",3/28/2020,14:55
Orleans,3,3/28/2020,14:55
Oswego,7,3/28/2020,14:55
Otsego,7,3/28/2020,14:55
Putnam,131,3/28/2020,14:55
Rensselaer,38,3/28/2020,14:55
Rockland,"1,896",3/28/2020,14:55
Saratoga,96,3/28/2020,14:55
Schenectady,72,3/28/2020,14:55
Schoharie,5,3/28/2020,14:55
Schuyler,1,3/28/2020,14:55
St. Lawrence,8,3/28/2020,14:55
Steuben,13,3/28/2020,14:55
Suffolk,"4,138",3/28/2020,14:55
Sullivan,72,3/28/2020,14:55
Tioga,4,3/28/2020,14:55
Tompkins,45,3/28/2020,14:55
Ulster,128,3/28/2020,14:55
Warren,13,3/28/2020,14:55
Washington,6,3/28/2020,14:55
Wayne,12,3/28/2020,14:55
Westchester,"7,875",3/28/2020,14:55
Wyoming,7,3/28/2020,14:55
Total Number of Positive Cases,"52,318",3/28/2020,14:55
Albany,205,3/29/2020,15:38
Allegany,6,3/29/2020,15:38
Broome,29,3/29/2020,15:38
Cattaraugus,4,3/29/2020,15:38
Cayuga,2,3/29/2020,15:38
Chautauqua,5,3/29/2020,15:38
Chemung,15,3/29/2020,15:38
Chenango,15,3/29/2020,15:38
Clinton,13,3/29/2020,15:38
Columbia,23,3/29/2020,15:38
Cortland,6,3/29/2020,15:38
Delaware,8,3/29/2020,15:38
Dutchess,320,3/29/2020,15:38
Erie,358,3/29/2020,15:38
Essex,4,3/29/2020,15:38
Franklin,6,3/29/2020,15:38
Fulton,1,3/29/2020,15:38
Genesee,9,3/29/2020,15:38
Greene,7,3/29/2020,15:38
Hamilton,2,3/29/2020,15:38
Herkimer,10,3/29/2020,15:38
Jefferson,7,3/29/2020,15:38
Lewis,2,3/29/2020,15:38
Livingston,10,3/29/2020,15:38
Madison,24,3/29/2020,15:38
Monroe,219,3/29/2020,15:38
Montgomery,6,3/29/2020,15:38
Nassau,"6,445",3/29/2020,15:38
Niagara,38,3/29/2020,15:38
New York City,"33,768",3/29/2020,15:38
Oneida,26,3/29/2020,15:38
Onondaga,152,3/29/2020,15:38
Ontario,18,3/29/2020,15:38
Orange,"1,247",3/29/2020,15:38
Orleans,3,3/29/2020,15:38
Oswego,8,3/29/2020,15:38
Otsego,10,3/29/2020,15:38
Putnam,144,3/29/2020,15:38
Rensselaer,39,3/29/2020,15:38
Rockland,"2,209",3/29/2020,15:38
Saratoga,102,3/29/2020,15:38
Schenectady,76,3/29/2020,15:38
Schoharie,5,3/29/2020,15:38
Schuyler,1,3/29/2020,15:38
St. Lawrence,12,3/29/2020,15:38
Steuben,17,3/29/2020,15:38
Suffolk,"5,023",3/29/2020,15:38
Sullivan,88,3/29/2020,15:38
Tioga,4,3/29/2020,15:38
Tompkins,52,3/29/2020,15:38
Ulster,146,3/29/2020,15:38
Warren,18,3/29/2020,15:38
Washington,7,3/29/2020,15:38
Wayne,12,3/29/2020,15:38
Westchester,"8,519",3/29/2020,15:38
Wyoming,8,3/29/2020,15:38
Total Number of Positive Cases,"59,513",3/29/2020,15:38
Albany,217,3/30/2020,15:58
Allegany,7,3/30/2020,15:58
Broome,35,3/30/2020,15:58
Cattaraugus,6,3/30/2020,15:58
Cayuga,3,3/30/2020,15:58
Chautauqua,5,3/30/2020,15:58
Chemung,15,3/30/2020,15:58
Chenango,17,3/30/2020,15:58
Clinton,17,3/30/2020,15:58
Columbia,26,3/30/2020,15:58
Cortland,8,3/30/2020,15:58
Delaware,11,3/30/2020,15:58
Dutchess,392,3/30/2020,15:58
Erie,376,3/30/2020,15:58
Essex,4,3/30/2020,15:58
Franklin,6,3/30/2020,15:58
Fulton,1,3/30/2020,15:58
Genesee,9,3/30/2020,15:58
Greene,10,3/30/2020,15:58
Hamilton,2,3/30/2020,15:58
Herkimer,12,3/30/2020,15:58
Jefferson,11,3/30/2020,15:58
Lewis,2,3/30/2020,15:58
Livingston,12,3/30/2020,15:58
Madison,34,3/30/2020,15:58
Monroe,242,3/30/2020,15:58
Montgomery,6,3/30/2020,15:58
Nassau,"7,344",3/30/2020,15:58
Niagara,41,3/30/2020,15:58
New York City,"37,453",3/30/2020,15:58
Oneida,34,3/30/2020,15:58
Onondaga,180,3/30/2020,15:58
Ontario,20,3/30/2020,15:58
Orange,"1,435",3/30/2020,15:58
Orleans,4,3/30/2020,15:58
Oswego,14,3/30/2020,15:58
Otsego,17,3/30/2020,15:58
Putnam,167,3/30/2020,15:58
Rensselaer,40,3/30/2020,15:58
Rockland,"2,511",3/30/2020,15:58
Saratoga,105,3/30/2020,15:58
Schenectady,80,3/30/2020,15:58
Schoharie,6,3/30/2020,15:58
Schuyler,2,3/30/2020,15:58
St. Lawrence,13,3/30/2020,15:58
Steuben,19,3/30/2020,15:58
Suffolk,"5,791",3/30/2020,15:58
Sullivan,101,3/30/2020,15:58
Tioga,4,3/30/2020,15:58
Tompkins,66,3/30/2020,15:58
Ulster,190,3/30/2020,15:58
Warren,18,3/30/2020,15:58
Washington,7,3/30/2020,15:58
Wayne,15,3/30/2020,15:58
Westchester,"9,326",3/30/2020,15:58
Wyoming,8,3/30/2020,15:58
Total Number of Positive Cases,"66,497",3/30/2020,15:58
Albany,226,3/31/2020,15:28
Allegany,7,3/31/2020,15:28
Broome,38,3/31/2020,15:28
Cattaraugus,6,3/31/2020,15:28
Cayuga,3,3/31/2020,15:28
Chautauqua,6,3/31/2020,15:28
Chemung,20,3/31/2020,15:28
Chenango,19,3/31/2020,15:28
Clinton,21,3/31/2020,15:28
Columbia,30,3/31/2020,15:28
Cortland,8,3/31/2020,15:28
Delaware,16,3/31/2020,15:28
Dutchess,484,3/31/2020,15:28
Erie,438,3/31/2020,15:28
Essex,4,3/31/2020,15:28
Franklin,9,3/31/2020,15:28
Fulton,1,3/31/2020,15:28
Genesee,10,3/31/2020,15:28
Greene,16,3/31/2020,15:28
Hamilton,2,3/31/2020,15:28
Herkimer,12,3/31/2020,15:28
Jefferson,12,3/31/2020,15:28
Lewis,2,3/31/2020,15:28
Livingston,13,3/31/2020,15:28
Madison,41,3/31/2020,15:28
Monroe,292,3/31/2020,15:28
Montgomery,7,3/31/2020,15:28
Nassau,"8,544",3/31/2020,15:28
Niagara,42,3/31/2020,15:28
New York City,"43,139",3/31/2020,15:28
Oneida,40,3/31/2020,15:28
Onondaga,194,3/31/2020,15:28
Ontario,22,3/31/2020,15:28
Orange,"1,556",3/31/2020,15:28
Orleans,6,3/31/2020,15:28
Oswego,15,3/31/2020,15:28
Otsego,18,3/31/2020,15:28
Putnam,186,3/31/2020,15:28
Rensselaer,41,3/31/2020,15:28
Rockland,"2,863",3/31/2020,15:28
Saratoga,108,3/31/2020,15:28
Schenectady,85,3/31/2020,15:28
Schoharie,6,3/31/2020,15:28
Schuyler,2,3/31/2020,15:28
Seneca,2,3/31/2020,15:28
St. Lawrence,30,3/31/2020,15:28
Steuben,24,3/31/2020,15:28
Suffolk,"6,713",3/31/2020,15:28
Sullivan,109,3/31/2020,15:28
Tioga,7,3/31/2020,15:28
Tompkins,66,3/31/2020,15:28
Ulster,211,3/31/2020,15:28
Warren,18,3/31/2020,15:28
Washington,10,3/31/2020,15:28
Wayne,19,3/31/2020,15:28
Westchester,"9,967",3/31/2020,15:28
Wyoming,9,3/31/2020,15:28
Total Number of Positive Cases,"75,795",3/31/2020,15:28
Albany,240,4/1/2020,15:10
Allegany,9,4/1/2020,15:10
Broome,42,4/1/2020,15:10
Cattaraugus,7,4/1/2020,15:10
Cayuga,3,4/1/2020,15:10
Chautauqua,6,4/1/2020,15:10
Chemung,22,4/1/2020,15:10
Chenango,26,4/1/2020,15:10
Clinton,25,4/1/2020,15:10
Columbia,31,4/1/2020,15:10
Cortland,8,4/1/2020,15:10
Delaware,20,4/1/2020,15:10
Dutchess,547,4/1/2020,15:10
Erie,464,4/1/2020,15:10
Essex,6,4/1/2020,15:10
Franklin,9,4/1/2020,15:10
Fulton,2,4/1/2020,15:10
Genesee,13,4/1/2020,15:10
Greene,18,4/1/2020,15:10
Hamilton,2,4/1/2020,15:10
Herkimer,12,4/1/2020,15:10
Jefferson,12,4/1/2020,15:10
Lewis,2,4/1/2020,15:10
Livingston,14,4/1/2020,15:10
Madison,51,4/1/2020,15:10
Monroe,349,4/1/2020,15:10
Montgomery,7,4/1/2020,15:10
Nassau,"9,554",4/1/2020,15:10
Niagara,46,4/1/2020,15:10
New York City,"47,439",4/1/2020,15:10
Oneida,50,4/1/2020,15:10
Onondaga,217,4/1/2020,15:10
Ontario,24,4/1/2020,15:10
Orange,"1,756",4/1/2020,15:10
Orleans,6,4/1/2020,15:10
Oswego,17,4/1/2020,15:10
Otsego,19,4/1/2020,15:10
Putnam,207,4/1/2020,15:10
Rensselaer,43,4/1/2020,15:10
Rockland,"3,321",4/1/2020,15:10
Saratoga,122,4/1/2020,15:10
Schenectady,93,4/1/2020,15:10
Schoharie,8,4/1/2020,15:10
Schuyler,2,4/1/2020,15:10
Seneca,2,4/1/2020,15:10
St. Lawrence,34,4/1/2020,15:10
Steuben,38,4/1/2020,15:10
Suffolk,"7,605",4/1/2020,15:10
Sullivan,121,4/1/2020,15:10
Tioga,7,4/1/2020,15:10
Tompkins,68,4/1/2020,15:10
Ulster,221,4/1/2020,15:10
Warren,18,4/1/2020,15:10
Washington,10,4/1/2020,15:10
Wayne,24,4/1/2020,15:10
Westchester,"10,683",4/1/2020,15:10
Wyoming,10,4/1/2020,15:10
Total Number of Positive Cases,"83,712",4/1/2020,15:10
Albany,253,4/2/2020,16:01
Allegany,12,4/2/2020,16:01
Broome,46,4/2/2020,16:01
Cattaraugus,8,4/2/2020,16:01
Cayuga,4,4/2/2020,16:01
Chautauqua,8,4/2/2020,16:01
Chemung,22,4/2/2020,16:01
Chenango,28,4/2/2020,16:01
Clinton,25,4/2/2020,16:01
Columbia,36,4/2/2020,16:01
Cortland,8,4/2/2020,16:01
Delaware,22,4/2/2020,16:01
Dutchess,667,4/2/2020,16:01
Erie,617,4/2/2020,16:01
Essex,6,4/2/2020,16:01
Franklin,9,4/2/2020,16:01
Fulton,6,4/2/2020,16:01
Genesee,14,4/2/2020,16:01
Greene,21,4/2/2020,16:01
Hamilton,2,4/2/2020,16:01
Herkimer,14,4/2/2020,16:01
Jefferson,15,4/2/2020,16:01
Lewis,2,4/2/2020,16:01
Livingston,14,4/2/2020,16:01
Madison,60,4/2/2020,16:01
Monroe,420,4/2/2020,16:01
Montgomery,8,4/2/2020,16:01
Nassau,"10,587",4/2/2020,16:01
Niagara,76,4/2/2020,16:01
New York City,"51,809",4/2/2020,16:01
Oneida,61,4/2/2020,16:01
Onondaga,234,4/2/2020,16:01
Ontario,26,4/2/2020,16:01
Orange,"1,993",4/2/2020,16:01
Orleans,6,4/2/2020,16:01
Oswego,22,4/2/2020,16:01
Otsego,21,4/2/2020,16:01
Putnam,216,4/2/2020,16:01
Rensselaer,53,4/2/2020,16:01
Rockland,"3,751",4/2/2020,16:01
Saratoga,132,4/2/2020,16:01
Schenectady,101,4/2/2020,16:01
Schoharie,8,4/2/2020,16:01
Schuyler,3,4/2/2020,16:01
Seneca,4,4/2/2020,16:01
St. Lawrence,39,4/2/2020,16:01
Steuben,43,4/2/2020,16:01
Suffolk,"8,746",4/2/2020,16:01
Sullivan,143,4/2/2020,16:01
Tioga,7,4/2/2020,16:01
Tompkins,74,4/2/2020,16:01
Ulster,240,4/2/2020,16:01
Warren,18,4/2/2020,16:01
Washington,12,4/2/2020,16:01
Wayne,27,4/2/2020,16:01
Westchester,"11,567",4/2/2020,16:01
Wyoming,14,4/2/2020,16:01
Yates,1,4/2/2020,16:01
Total Number of Positive Cases,"92,381",4/2/2020,16:01
